                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4061,                 1.0689,                 1.6667,                0.93478,                0.89474,                0.93544,                0.62641,                 1.2575,                0.98494,                 1.5106,               0.006634,               0.006634,               0.006634
                     36,                 1.3392,                 1.0455,                 1.5892,                      1,                0.82223,                0.90803,                0.47932,                 1.4934,                 1.1935,                 1.7898,               0.006535,               0.006535,               0.006535
                     37,                 1.3155,                 1.0909,                 1.5567,                      1,                0.88963,                  0.995,                0.53486,                 1.3849,                0.97038,                 1.6999,               0.006436,               0.006436,               0.006436
                     38,                 1.6376,                 1.2134,                 1.7878,                0.98992,                0.89474,                 0.9658,                0.59744,                 1.3298,                 1.0559,                 1.6244,               0.006337,               0.006337,               0.006337
                     39,                 1.3369,                 1.0426,                 1.5833,                      1,                0.88625,                0.94683,                 0.5498,                 1.3318,                 1.0648,                 1.6145,               0.006238,               0.006238,               0.006238
                     40,                 1.4035,                 1.0722,                   1.64,                0.80344,                0.89474,                0.88113,                0.37588,                 1.8634,                 1.5779,                 2.0385,               0.006139,               0.006139,               0.006139
                     41,                 1.2839,                0.99013,                 1.5175,                0.94037,                0.94737,                0.94072,                0.49357,                  1.734,                 1.0409,                 1.8458,                0.00604,                0.00604,                0.00604
                     42,                 1.2352,                0.95443,                 1.4971,                0.99169,                0.94737,                0.94526,                0.57577,                 1.3652,                0.99615,                 1.5604,               0.005941,               0.005941,               0.005941
                     43,                 1.3103,                 0.9851,                 1.5491,                0.98361,                      1,                  0.995,                0.42719,                  1.772,                 1.0817,                 1.9284,               0.005842,               0.005842,               0.005842
                     44,                 1.4187,                0.97492,                 1.7786,                 0.9283,                0.94737,                0.98497,                0.64139,                   1.17,                0.98811,                 1.4663,               0.005743,               0.005743,               0.005743
                     45,                 1.3604,                 1.0177,                 1.5885,                0.99976,                0.84211,                0.96776,                0.53431,                 1.3221,                 0.9697,                 1.5562,               0.005644,               0.005644,               0.005644
                     46,                 1.3423,                0.94729,                 1.6094,                0.98624,                0.94737,                0.99024,                0.57759,                 1.3338,                0.83311,                 1.5419,               0.005545,               0.005545,               0.005545
                     47,                  1.273,                 0.9274,                 1.5967,                0.94912,                0.98241,                   0.99,                0.63873,                  1.222,                0.90008,                 1.4787,               0.005446,               0.005446,               0.005446
                     48,                 1.3497,                0.97358,                 1.6055,                0.94061,                      1,                   0.99,                 0.5641,                 1.4082,                  1.011,                 1.5706,               0.005347,               0.005347,               0.005347
                     49,                  1.338,                0.95595,                 1.5727,                0.98175,                0.89474,                 0.9499,                0.62693,                 1.2233,                0.97521,                 1.4999,               0.005248,               0.005248,               0.005248
                     50,                 1.2497,                  0.895,                 1.5498,                0.98656,                0.78947,                0.94219,                0.62276,                 1.2252,                0.94461,                 1.4588,               0.005149,               0.005149,               0.005149
                     51,                 1.2919,                0.95173,                  1.466,                0.99211,                0.84211,                0.95397,                 0.6165,                 1.2532,                0.99955,                 1.4873,                0.00505,                0.00505,                0.00505
                     52,                  1.241,                0.84588,                  1.505,                0.94314,                0.87367,                0.97308,                0.65421,                 1.1952,                 0.8994,                 1.4114,               0.004951,               0.004951,               0.004951
                     53,                 1.2452,                0.89366,                 1.5121,                0.94917,                0.98345,                   0.99,                0.59112,                 1.3975,                0.81781,                 1.6014,               0.004852,               0.004852,               0.004852
                     54,                 1.2877,                0.88235,                 1.6547,                0.94407,                0.88876,                0.92599,                0.37592,                 1.9192,                0.97324,                  2.014,               0.004753,               0.004753,               0.004753
                     55,                 1.2696,                0.92556,                 1.6115,                0.94875,                0.97509,                   0.99,                0.65065,                 1.2947,                0.80823,                 1.4783,               0.004654,               0.004654,               0.004654
                     56,                 1.0909,                0.82916,                 1.3563,                0.88015,                      1,                0.97659,                0.63016,                 1.2537,                0.88332,                 1.4327,               0.004555,               0.004555,               0.004555
                     57,                 1.2277,                0.85332,                 1.5004,                0.94477,                0.90055,                0.98292,                0.70593,                 1.1067,                0.87334,                 1.3575,               0.004456,               0.004456,               0.004456
                     58,                  1.266,                 1.0171,                  1.534,                0.98495,                0.84211,                 0.9598,                0.68156,                 1.0826,                0.89663,                 1.3621,               0.004357,               0.004357,               0.004357
                     59,                 1.1789,                0.80599,                 1.4482,                0.89473,                 0.8947,                0.97465,                0.66495,                 1.1336,                0.94179,                 1.3738,               0.004258,               0.004258,               0.004258
                     60,                 1.2541,                0.87973,                 1.5209,                      1,                0.88155,                0.93638,                0.40215,                 2.1004,                 1.5543,                 2.2374,               0.004159,               0.004159,               0.004159
                     61,                 1.0806,                0.78272,                 1.3578,                0.99946,                      1,                  0.995,                 0.6113,                 1.3469,                0.86762,                 1.4373,                0.00406,                0.00406,                0.00406
                     62,                 1.4528,                0.97418,                 1.5897,                 0.9887,                      1,                  0.995,                0.56213,                 1.3699,                0.88845,                 1.5034,               0.003961,               0.003961,               0.003961
                     63,                  1.175,                0.80772,                 1.4168,                0.93912,                      1,                 0.9925,                0.67863,                 1.0405,                0.79584,                 1.2937,               0.003862,               0.003862,               0.003862
                     64,                 1.2299,                0.80587,                 1.4474,                0.98884,                      1,                  0.995,                0.66228,                  1.116,                0.76002,                 1.3565,               0.003763,               0.003763,               0.003763
