                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 2.0297,                 1.8002,                 2.5618,                0.45945,                   0.25,                 0.2599,                0.09229,                 2.3795,                 2.4705,                 4.5352,               0.006535,               0.006535,               0.006535
                     37,                 1.9149,                 1.7776,                 2.3798,                0.02989,                  0.125,                0.01276,                0.00374,                 2.3511,                 5.8994,                 4.6718,               0.006436,               0.006436,               0.006436
                     38,                 1.9044,                 1.9984,                 2.4828,                0.25139,                   0.25,                0.26583,                0.05347,                 2.1192,                 2.6715,                 3.6117,               0.006337,               0.006337,               0.006337
                     39,                 1.8649,                  1.634,                  2.417,                0.34719,                    0.5,                0.49529,                0.20573,                 1.5338,                 3.1085,                 2.5396,               0.006238,               0.006238,               0.006238
                     40,                 2.0215,                 1.6769,                 2.4694,                      1,                0.49689,                0.75168,                0.46456,                 1.5983,                 2.3591,                 2.5284,               0.006139,               0.006139,               0.006139
                     41,                 1.8695,                 1.6804,                 2.3052,                      1,                0.61191,                0.80424,                0.32489,                 1.6376,                  2.012,                 2.3193,                0.00604,                0.00604,                0.00604
                     42,                 1.9019,                 1.7179,                 2.2646,                0.79705,                0.49262,                0.52897,                0.25047,                 1.2872,                 1.9545,                  2.064,               0.005941,               0.005941,               0.005941
                     43,                 1.7927,                 1.5755,                 2.3158,                0.64173,                      1,                0.88167,                0.45559,                 1.3963,                 1.8033,                 2.1615,               0.005842,               0.005842,               0.005842
                     44,                  1.735,                 1.4418,                 2.2072,                0.66079,                0.97575,                 0.6931,                0.22043,                 1.8942,                  1.877,                 2.6174,               0.005743,               0.005743,               0.005743
                     45,                 1.8963,                 1.3893,                 2.2708,                0.33153,                  0.375,                0.25171,                0.07032,                 2.3356,                 2.3118,                 3.3888,               0.005644,               0.005644,               0.005644
                     46,                 1.8053,                 1.4343,                 2.2251,                0.96884,                      1,                  0.995,                0.43314,                 1.5112,                 1.5812,                 2.3444,               0.005545,               0.005545,               0.005545
                     47,                 1.7471,                 1.3327,                 2.2121,                0.96843,                  0.625,                0.76538,                0.39232,                 1.5124,                 1.8013,                  2.284,               0.005446,               0.005446,               0.005446
                     48,                   1.86,                  1.418,                 2.2534,                0.85778,                  0.875,                 0.9326,                0.50856,                 1.4364,                 1.2635,                 2.1652,               0.005347,               0.005347,               0.005347
                     49,                 1.7846,                 1.3769,                 2.1257,                      1,                0.97868,                  0.995,                0.47384,                 1.4927,                 2.5058,                 2.2933,               0.005248,               0.005248,               0.005248
                     50,                 1.6354,                 1.2852,                 2.1274,                      1,                0.85557,                  0.971,                0.45584,                 1.5798,                  1.642,                 2.2875,               0.005149,               0.005149,               0.005149
                     51,                 1.7309,                 1.2845,                 2.1355,                0.98032,                  0.875,                0.98167,                0.41409,                 1.7521,                 1.2503,                 2.4066,                0.00505,                0.00505,                0.00505
                     52,                 1.6066,                 1.1457,                 1.9959,                0.98778,                      1,                  0.995,                0.64009,                 1.2088,                 1.2685,                 1.8951,               0.004951,               0.004951,               0.004951
                     53,                 1.7191,                 1.3069,                 2.1829,                 0.9908,                      1,                  0.995,                0.60305,                 1.4233,                 1.0119,                 2.1068,               0.004852,               0.004852,               0.004852
                     54,                 1.6754,                 1.1887,                 2.1186,                      1,                0.98998,                  0.995,                0.43072,                 1.8538,                 1.2295,                 2.4395,               0.004753,               0.004753,               0.004753
                     55,                 1.5864,                 1.1991,                 2.1317,                      1,                0.99701,                  0.995,                0.36972,                 2.0655,                 1.2895,                  2.775,               0.004654,               0.004654,               0.004654
                     56,                 1.6963,                 1.2259,                 2.0843,                0.95854,                      1,                  0.995,                0.61913,                 1.3279,                 1.1524,                 1.9725,               0.004555,               0.004555,               0.004555
                     57,                  1.548,                 1.2511,                 2.0047,                 0.8818,                      1,                  0.995,                0.55612,                 1.5512,                 1.0343,                 2.1994,               0.004456,               0.004456,               0.004456
                     58,                 1.5226,                 1.0544,                 1.9604,                0.87797,                      1,                0.98167,                0.56223,                 1.3532,                 1.1236,                 2.0391,               0.004357,               0.004357,               0.004357
                     59,                 1.5104,                  1.089,                 1.9682,                0.98654,                      1,                  0.995,                0.58443,                 1.4094,                 1.0738,                 2.0857,               0.004258,               0.004258,               0.004258
                     60,                  1.506,                 1.0759,                 1.9746,                0.97784,                      1,                  0.995,                 0.4921,                 1.4789,                 1.0963,                 2.1703,               0.004159,               0.004159,               0.004159
                     61,                 1.4171,                 1.0289,                 1.8699,                0.99349,                  0.875,                0.98167,                0.55368,                 1.4258,                 1.1239,                 2.0992,                0.00406,                0.00406,                0.00406
                     62,                 1.4207,                0.97682,                 1.8084,                0.88295,                      1,                0.98167,                0.67437,                 1.1529,                 1.0389,                 1.8771,               0.003961,               0.003961,               0.003961
                     63,                 1.5692,                  1.103,                 1.9672,                      1,                0.85767,                0.98167,                0.58882,                 1.3592,                 1.0164,                   1.98,               0.003862,               0.003862,               0.003862
                     64,                  1.332,                 1.0098,                 1.7909,                0.98578,                      1,                  0.995,                0.49547,                 1.7472,                 1.0767,                 2.3643,               0.003763,               0.003763,               0.003763
                     65,                  1.426,                 1.0831,                 1.8711,                0.98786,                      1,                  0.995,                0.54786,                  1.476,                 1.1552,                 2.1466,               0.003664,               0.003664,               0.003664
                     66,                 1.4736,                 1.1063,                 1.8892,                      1,                0.95115,                  0.995,                 0.4285,                 1.6248,                 1.5054,                 2.2253,               0.003565,               0.003565,               0.003565
                     67,                 1.3805,                 1.0435,                 1.7999,                0.97651,                      1,                  0.995,                0.54048,                 1.3557,                 1.1781,                 2.0072,               0.003466,               0.003466,               0.003466
                     68,                 1.4038,                 1.0102,                 1.8349,                0.98617,                      1,                  0.995,                0.66507,                 1.1555,                0.97945,                 1.8802,               0.003367,               0.003367,               0.003367
                     69,                 1.3503,                 1.0203,                  1.824,                      1,                0.98247,                  0.995,                0.69179,                 1.2061,                 1.1386,                 1.9294,               0.003268,               0.003268,               0.003268
                     70,                 1.3094,                0.95526,                 1.6741,                0.99238,                      1,                  0.995,                0.71915,                 1.0634,                0.90625,                 1.7912,               0.003169,               0.003169,               0.003169
                     71,                 1.2687,                0.95466,                 1.7911,                      1,                0.99063,                  0.995,                0.66704,                  1.272,                 1.1777,                 1.9708,                0.00307,                0.00307,                0.00307
                     72,                 1.3673,                 1.0185,                 1.7534,                      1,                 0.9713,                  0.995,                0.71303,                  1.228,                 1.2598,                 1.9639,               0.002971,               0.002971,               0.002971
                     73,                 1.3417,                0.94112,                 1.7358,                0.99627,                      1,                  0.995,                0.64155,                 1.3728,                0.91218,                 2.0468,               0.002872,               0.002872,               0.002872
                     74,                 1.2596,                0.96854,                 1.7357,                      1,                0.99813,                  0.995,                0.59498,                 1.5163,                 1.0001,                 2.1532,               0.002773,               0.002773,               0.002773
